Código,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
O99.2,10,6.0,442650.0,929276.145,486626.145
E86,10,3.0,483900.0,1080900.0,597000.0
S06.60,10,3.0,993000.0,2208600.0,1215600.0
P39.1,10,3.0,158250.0,910650.0,752400.0
K61.2,10,4.0,730800.0,1438242.5015,707442.5015
J10.0,10,3.0,925800.0,9416848.2886,8491048.2886
N73.9,10,4.0,711300.0,1818915.6855,1107615.6855
C19,9,5.0,991950.0,9416848.2886,8424898.2886
T82.7,9,2.0,1207200.0,2224350.0,1017150.0
I83.2,9,4.0,702450.0,1591288.329,888838.3289999999
Z43.2,9,5.0,730800.0,2585115.5154,1854315.5154
O14.9,9,6.0,442650.0,1324509.7143,881859.7143000001
K25.1,9,3.0,2020657.9127,9416848.2886,7396190.375899999
K44.9,9,3.0,1758409.1956,2585115.5154,826706.3197999999
F31.2,9,3.0,728100.0,1455714.9638,727614.9638
O85,9,4.0,468600.0,1823930.9294,1355330.9294
R00.1,9,4.0,648750.0,4153107.2279,3504357.2279
P07.1,9,6.0,609600.0,4218900.0,3609300.0
O63.1,9,3.0,833986.5124,1324509.7143,490523.2019000001
E11.9,9,5.0,598500.0,2272552.578,1674052.5780000002
K21.9,9,4.0,688050.0,2020657.9127,1332607.9127
J00,9,2.0,455850.0,656700.0,200850.0
O24.1,9,3.0,442650.0,1324509.7143,881859.7143000001
S27.01,9,2.0,795900.0,1189650.0,393750.0
K22.2,9,3.0,688050.0,1498650.0,810600.0
G40.8,9,2.0,762900.0,955500.0,192600.0
O82.1,9,3.0,833986.5124,1324509.7143,490523.2019000001
O81.3,8,3.0,483243.0092,579665.1162,96422.10700000008
K43.0,8,3.0,1010400.0,1670237.9736,659837.9735999999
O44.1,8,5.0,442650.0,1324509.7143,881859.7143000001
N70.0,8,5.0,711300.0,3693160.8351,2981860.8351
E16.0,8,3.0,732750.0,1654500.0,921750.0
F32.3,8,2.0,618600.0,702300.0,83700.0
O70.9,8,4.0,483243.0092,771700.4198,288457.41060000006
T42.1,8,3.0,606900.0,1205550.0,598650.0
E87.5,8,2.0,730800.0,1080900.0,350100.0
O68.9,8,3.0,559765.923,1324509.7143,764743.7913000002
O14.2,8,4.0,833986.5124,1324509.7143,490523.2019000001
P21.9,8,7.0,609600.0,3945300.0,3335700.0
F09,8,3.0,872700.0,1262400.0,389700.0
O65.4,8,2.0,833986.5124,929276.145,95289.63260000001
C25.0,8,4.0,1145550.0,3919493.9352,2773943.9352
I44.1,8,5.0,848850.0,4428945.6379,3580095.6379000004
K59.0,8,2.0,730800.0,1010400.0,279600.0
K40.3,8,4.0,1092999.5883,9416848.2886,8323848.7003
J12.8,8,2.0,612600.0,1549200.0,936600.0
Z01.7,8,2.0,576000.0,1630050.0,1054050.0
T43.3,8,2.0,606900.0,744000.0,137100.0
R41.8,8,4.0,632400.0,1684636.5769,1052236.5769
A08.4,8,3.0,646050.0,1554887.3658,908837.3658
N17.8,8,3.0,706050.0,1769850.0,1063800.0
P70.0,8,3.0,158250.0,3945300.0,3787050.0
F31.8,8,3.0,728100.0,1134150.0,406050.0
I25.1,8,2.0,778800.0,1143750.0,364950.0
S36.41,7,5.0,1538385.5958,18935781.0561,17397395.4603
R41.0,7,2.0,632400.0,830400.0,198000.0
K72.0,7,4.0,1065150.0,9416848.2886,8351698.2886
I31.3,7,5.0,712800.0,6758769.0647,6045969.0647
S61.9,7,2.0,810150.0,927000.0,116850.0
L89.2,7,3.0,728700.0,2287800.0,1559100.0
R31,7,2.0,553200.0,769950.0,216750.0
N23,7,2.0,590250.0,789000.0,198750.0
A04.7,7,3.0,730800.0,1644300.0,913500.0
N21.0,7,5.0,590250.0,2677007.7247,2086757.7247000001
R56.0,7,2.0,762900.0,1341300.0,578400.0
N13.3,7,3.0,590250.0,1416078.3595,825828.3595
K92.1,7,3.0,730800.0,9416848.2886,8686048.2886
P28.4,7,4.0,158250.0,3135600.0,2977350.0
E87.6,7,3.0,483900.0,1080900.0,597000.0
T85.5,7,4.0,691500.0,3136306.9892,2444806.9892
J36,7,3.0,455850.0,1947855.9863,1492005.9863
O00.8,7,4.0,442650.0,3417322.4251,2974672.4251
O62.3,7,3.0,483243.0092,1324509.7143,841266.7051000001
O06.1,7,3.0,452400.0,1079733.4595,627333.4595000001
O10.9,7,2.0,442650.0,833986.5124,391336.5124
D25.2,7,3.0,1152535.3859,1818915.6855,666380.2995999998
O20.0,7,2.0,466050.0,1036375.8678,570325.8678
O21.0,7,1.0,442650.0,442650.0,0.0
O47.0,7,4.0,269850.0,1036375.8678,766525.8678
F32.1,7,1.0,489300.0,489300.0,0.0
O21.9,7,1.0,442650.0,442650.0,0.0
J21.8,7,3.0,517800.0,873150.0,355350.0
K63.1,7,4.0,1010400.0,9416848.2886,8406448.2886
T20.2,7,1.0,845700.0,845700.0,0.0
O23.4,7,2.0,442650.0,588450.0,145800.0
J20.8,7,2.0,630450.0,1444200.0,813750.0
D50.9,7,3.0,697800.0,1358250.0,660450.0
K64.8,7,3.0,730800.0,1010400.0,279600.0
Z33,7,2.0,576000.0,1630050.0,1054050.0
O26.6,7,4.0,442650.0,906900.0,464250.0
O42.1,7,5.0,483243.0092,1324509.7143,841266.7051000001
K46.9,7,3.0,1313993.8805,3415704.6045,2101710.724
O64.1,7,3.0,833986.5124,1324509.7143,490523.2019000001
C18.9,7,5.0,1327500.0,9416848.2886,8089348.2886
O81.0,7,4.0,483243.0092,808910.2933,325667.28410000005
K60.5,7,3.0,986870.5578,1644300.0,657429.4422
I47.2,6,3.0,848850.0,4153107.2279,3304257.2279
D37.4,6,4.0,1010400.0,5767045.0451,4756645.0451
J96.01,6,2.0,1851000.0,18935781.0561,17084781.0561
S51.9,6,2.0,810150.0,927000.0,116850.0
O42.2,6,3.0,833986.5124,1324509.7143,490523.2019000001
S06.80,6,4.0,993000.0,9416848.2886,8423848.2886
