Código,GRD_final,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
K80.2,07113,2,1.0,2605500.0548,2605500.0548,0.0
K80.3,04102,2,1.0,9416848.2886,9416848.2886,0.0
K80.3,07111,2,2.0,3136306.9892,5767853.9554,2631546.9662
K80.4,04102,2,1.0,9416848.2886,9416848.2886,0.0
K80.5,07111,2,2.0,2217546.6781,3136306.9892,918760.3111
K80.8,07414,2,2.0,869850.0,1724250.0,854400.0
K81.0,04102,2,1.0,9416848.2886,9416848.2886,0.0
K81.0,07112,2,2.0,2331441.2474,4059273.6339,1727832.3864999996
K81.0,07113,2,2.0,1535958.8649,1949312.0248,413353.1599000001
K86.1,07412,2,1.0,807150.0,807150.0,0.0
K86.2,07412,2,2.0,1061250.0,1862400.0,801150.0
K90.4,06418,2,2.0,730800.0,1010400.0,279600.0
K91.4,06110,2,2.0,2158334.4446,4473273.922,2314939.4774
K91.4,06418,2,2.0,730800.0,1644300.0,913500.0
K92.2,06120,2,1.0,5767045.0451,5767045.0451,0.0
K08.8,03414,1,1.0,669300.0,669300.0,0.0
K11.7,03415,1,1.0,644100.0,644100.0,0.0
K21.0,06120,1,1.0,2020657.9127,2020657.9127,0.0
K21.0,06412,1,1.0,1498650.0,1498650.0,0.0
K21.9,06130,1,1.0,1187803.8747,1187803.8747,0.0
K22.0,06120,1,1.0,2585115.5154,2585115.5154,0.0
K22.3,06412,1,1.0,1498650.0,1498650.0,0.0
K22.8,06412,1,1.0,688050.0,688050.0,0.0
K25.0,06411,1,1.0,1570200.0,1570200.0,0.0
K25.1,04102,1,1.0,9416848.2886,9416848.2886,0.0
K25.4,04102,1,1.0,9416848.2886,9416848.2886,0.0
K25.5,04101,1,1.0,18935781.0561,18935781.0561,0.0
K25.6,04102,1,1.0,9416848.2886,9416848.2886,0.0
K26.0,04102,1,1.0,4991947.2021,4991947.2021,0.0
K26.0,06411,1,1.0,1570200.0,1570200.0,0.0
K26.3,06411,1,1.0,1570200.0,1570200.0,0.0
K26.4,06411,1,1.0,1570200.0,1570200.0,0.0
K26.7,06411,1,1.0,845250.0,845250.0,0.0
K27.1,04102,1,1.0,9416848.2886,9416848.2886,0.0
K27.5,06120,1,1.0,5767045.0451,5767045.0451,0.0
K28.5,06120,1,1.0,5767045.0451,5767045.0451,0.0
K29.5,06411,1,1.0,1074300.0,1074300.0,0.0
K29.8,06411,1,1.0,1570200.0,1570200.0,0.0
K31.1,06120,1,1.0,2020657.9127,2020657.9127,0.0
K31.1,06130,1,1.0,4311491.8634,4311491.8634,0.0
K31.8,06120,1,1.0,5767045.0451,5767045.0451,0.0
K31.8,06418,1,1.0,1644300.0,1644300.0,0.0
K35.2,06111,1,1.0,1395370.256,1395370.256,0.0
K35.2,06140,1,1.0,3693160.8351,3693160.8351,0.0
K35.2,06416,1,1.0,1064100.0,1064100.0,0.0
K35.3,04102,1,1.0,9416848.2886,9416848.2886,0.0
K35.3,06112,1,1.0,1313993.8805,1313993.8805,0.0
K35.8,06111,1,1.0,1395370.256,1395370.256,0.0
K37,06110,1,1.0,1538385.5958,1538385.5958,0.0
K37,06120,1,1.0,5767045.0451,5767045.0451,0.0
K38.3,06418,1,1.0,730800.0,730800.0,0.0
K38.8,06140,1,1.0,3693160.8351,3693160.8351,0.0
K38.8,06418,1,1.0,730800.0,730800.0,0.0
K40.0,06114,1,1.0,1092999.5883,1092999.5883,0.0
K40.2,06418,1,1.0,1644300.0,1644300.0,0.0
K40.3,04102,1,1.0,9416848.2886,9416848.2886,0.0
K40.9,09140,1,1.0,2369460.0312,2369460.0312,0.0
K41.3,06114,1,1.0,1466392.5797,1466392.5797,0.0
K41.3,06120,1,1.0,2585115.5154,2585115.5154,0.0
K42.0,06140,1,1.0,1554887.3658,1554887.3658,0.0
K42.9,06140,1,1.0,2115785.7632,2115785.7632,0.0
K43.0,06418,1,1.0,1010400.0,1010400.0,0.0
K43.2,06120,1,1.0,5767045.0451,5767045.0451,0.0
K43.2,06418,1,1.0,730800.0,730800.0,0.0
K43.3,06110,1,1.0,1538385.5958,1538385.5958,0.0
K43.3,06418,1,1.0,1644300.0,1644300.0,0.0
K43.5,06110,1,1.0,1538385.5958,1538385.5958,0.0
K43.5,06112,1,1.0,1313993.8805,1313993.8805,0.0
K43.5,06418,1,1.0,1644300.0,1644300.0,0.0
K43.6,06112,1,1.0,1670237.9736,1670237.9736,0.0
K43.9,06110,1,1.0,2158334.4446,2158334.4446,0.0
K43.9,06120,1,1.0,2020657.9127,2020657.9127,0.0
K43.9,06140,1,1.0,2115785.7632,2115785.7632,0.0
K43.9,07112,1,1.0,1740774.9512,1740774.9512,0.0
K44.0,04130,1,1.0,4405487.2394,4405487.2394,0.0
K45.8,06112,1,1.0,1670237.9736,1670237.9736,0.0
K46.0,06112,1,1.0,1670237.9736,1670237.9736,0.0
K46.0,06120,1,1.0,5767045.0451,5767045.0451,0.0
K46.0,06418,1,1.0,730800.0,730800.0,0.0
K46.9,06111,1,1.0,3415704.6045,3415704.6045,0.0
K50.0,06413,1,1.0,798450.0,798450.0,0.0
K50.1,06120,1,1.0,5767045.0451,5767045.0451,0.0
K50.1,06413,1,1.0,1542300.0,1542300.0,0.0
K51.9,06120,1,1.0,5767045.0451,5767045.0451,0.0
K52.2,06417,1,1.0,646050.0,646050.0,0.0
K55.0,06140,1,1.0,3693160.8351,3693160.8351,0.0
K55.1,06414,1,1.0,1768050.0,1768050.0,0.0
K55.8,06414,1,1.0,1184850.0,1184850.0,0.0
K55.9,04120,1,1.0,3417322.4251,3417322.4251,0.0
K56.0,06415,1,1.0,712050.0,712050.0,0.0
K56.2,06415,1,1.0,948150.0,948150.0,0.0
K56.4,06120,1,1.0,5767045.0451,5767045.0451,0.0
K56.5,04101,1,1.0,18935781.0561,18935781.0561,0.0
K56.5,04102,1,1.0,9416848.2886,9416848.2886,0.0
K56.5,05120,1,1.0,5285419.8565,5285419.8565,0.0
K56.5,06110,1,1.0,2158334.4446,2158334.4446,0.0
K56.6,04102,1,1.0,9416848.2886,9416848.2886,0.0
K56.6,13130,1,1.0,1036375.8678,1036375.8678,0.0
K57.0,06413,1,1.0,1542300.0,1542300.0,0.0
K57.2,04102,1,1.0,9416848.2886,9416848.2886,0.0
K57.2,06110,1,1.0,2158334.4446,2158334.4446,0.0
K59.3,04120,1,1.0,2202500.9466,2202500.9466,0.0
K59.3,06418,1,1.0,1644300.0,1644300.0,0.0
K60.0,06418,1,1.0,730800.0,730800.0,0.0
K60.5,06418,1,1.0,1644300.0,1644300.0,0.0
K61.0,06418,1,1.0,1644300.0,1644300.0,0.0
K61.4,06150,1,1.0,986870.5578,986870.5578,0.0
K63.0,06111,1,1.0,1395370.256,1395370.256,0.0
K63.0,06416,1,1.0,1397700.0,1397700.0,0.0
K63.1,06120,1,1.0,5767045.0451,5767045.0451,0.0
K63.2,06130,1,1.0,2167232.4578,2167232.4578,0.0
K63.2,06140,1,1.0,2115785.7632,2115785.7632,0.0
K63.2,06418,1,1.0,730800.0,730800.0,0.0
K63.2,09130,1,1.0,7156105.8008,7156105.8008,0.0
K63.5,06120,1,1.0,2020657.9127,2020657.9127,0.0
K63.8,06120,1,1.0,5767045.0451,5767045.0451,0.0
K63.8,06418,1,1.0,730800.0,730800.0,0.0
K64.9,06150,1,1.0,1438242.5015,1438242.5015,0.0
K65.0,04101,1,1.0,18935781.0561,18935781.0561,0.0
K65.0,04102,1,1.0,9416848.2886,9416848.2886,0.0
K65.0,06140,1,1.0,3693160.8351,3693160.8351,0.0
K65.8,06120,1,1.0,5767045.0451,5767045.0451,0.0
K66.0,06140,1,1.0,3693160.8351,3693160.8351,0.0
K66.8,06140,1,1.0,2115785.7632,2115785.7632,0.0
K66.8,06418,1,1.0,1010400.0,1010400.0,0.0
K70.4,06150,1,1.0,2467499.9587,2467499.9587,0.0
K70.9,07410,1,1.0,1037700.0,1037700.0,0.0
K71.8,07413,1,1.0,1065150.0,1065150.0,0.0
K72.0,04102,1,1.0,9416848.2886,9416848.2886,0.0
K72.0,04120,1,1.0,3417322.4251,3417322.4251,0.0
K72.1,04102,1,1.0,9416848.2886,9416848.2886,0.0
K72.9,04120,1,1.0,3417322.4251,3417322.4251,0.0
K74.5,07410,1,1.0,1757700.0,1757700.0,0.0
K74.6,04102,1,1.0,9416848.2886,9416848.2886,0.0
K76.0,07413,1,1.0,1065150.0,1065150.0,0.0
K76.8,04102,1,1.0,9416848.2886,9416848.2886,0.0
K76.8,05120,1,1.0,5285419.8565,5285419.8565,0.0
K76.8,07110,1,1.0,2897840.2348,2897840.2348,0.0
K77.0,07110,1,1.0,3919493.9352,3919493.9352,0.0
K80.0,06120,1,1.0,2585115.5154,2585115.5154,0.0
K80.2,04101,1,1.0,18935781.0561,18935781.0561,0.0
K80.2,04102,1,1.0,9416848.2886,9416848.2886,0.0
K80.2,04120,1,1.0,3417322.4251,3417322.4251,0.0
K80.2,07111,1,1.0,3136306.9892,3136306.9892,0.0
K80.2,09140,1,1.0,2369460.0312,2369460.0312,0.0
K80.3,04120,1,1.0,3417322.4251,3417322.4251,0.0
K80.3,06120,1,1.0,5767045.0451,5767045.0451,0.0
K80.3,07113,1,1.0,2605500.0548,2605500.0548,0.0
K80.4,07113,1,1.0,2605500.0548,2605500.0548,0.0
K80.5,07113,1,1.0,1535958.8649,1535958.8649,0.0
K80.8,07111,1,1.0,3136306.9892,3136306.9892,0.0
K81.0,05120,1,1.0,2520564.474,2520564.474,0.0
K82.4,07114,1,1.0,1855963.777,1855963.777,0.0
K83.0,06120,1,1.0,2585115.5154,2585115.5154,0.0
K83.0,07114,1,1.0,1855963.777,1855963.777,0.0
K83.1,04120,1,1.0,3417322.4251,3417322.4251,0.0
K83.1,07110,1,1.0,8517178.2603,8517178.2603,0.0
K83.1,07111,1,1.0,2217546.6781,2217546.6781,0.0
K83.3,04102,1,1.0,9416848.2886,9416848.2886,0.0
K83.9,07414,1,1.0,1724250.0,1724250.0,0.0
K85.0,07412,1,1.0,807150.0,807150.0,0.0
K85.1,04120,1,1.0,3417322.4251,3417322.4251,0.0
K85.1,07113,1,1.0,1949312.0248,1949312.0248,0.0
K85.8,06130,1,1.0,1187803.8747,1187803.8747,0.0
K85.9,04102,1,1.0,9416848.2886,9416848.2886,0.0
K85.9,07114,1,1.0,1855963.777,1855963.777,0.0
K86.0,07412,1,1.0,1061250.0,1061250.0,0.0
K86.8,07412,1,1.0,1862400.0,1862400.0,0.0
K91.0,06130,1,1.0,4311491.8634,4311491.8634,0.0
K91.1,06120,1,1.0,5767045.0451,5767045.0451,0.0
K91.3,06112,1,1.0,1670237.9736,1670237.9736,0.0
K91.3,06120,1,1.0,2020657.9127,2020657.9127,0.0
K91.3,06418,1,1.0,730800.0,730800.0,0.0
K91.3,13130,1,1.0,1036375.8678,1036375.8678,0.0
K91.4,06120,1,1.0,5767045.0451,5767045.0451,0.0
K91.8,06120,1,1.0,5767045.0451,5767045.0451,0.0
K91.8,06418,1,1.0,1010400.0,1010400.0,0.0
K92.0,04102,1,1.0,9416848.2886,9416848.2886,0.0
K92.1,04102,1,1.0,9416848.2886,9416848.2886,0.0
K92.2,04101,1,1.0,18935781.0561,18935781.0561,0.0
K92.9,06120,1,1.0,2020657.9127,2020657.9127,0.0
